FileName, CommitSha
Analytics/Original/Fake computer account created.json,ce8ee1f9b1767d0f4d24a4caac7d844069a26d16
Analytics/Original/Potential Build Process Compromise.json,ae0ca263747b0a5eef729ca15e04425ed5b20f91
Analytics/Original/Potential Kerberoasting.json,d61b30aa29ec33dea2b4398da4f8a5d7c06ada16
Analytics/Custom/NRT Break the glass admin account used for signin.json,442c7791cd96ab6b5332a704a9b35cdeb4c202f6
Analytics/Original/Accessed files shared by temporary external user.json,ea291bcc8d2e39c662e103dd43a947b1f3d550b4
Analytics/Original/AV detections related to Ukraine threats.json,985648133988e65c73fb563a904f7aea5d75be0b
Analytics/Original/Authentication Attempt from New Country.json,d6a4e5400e2523066d5345071a104df3d36a1f5b
Analytics/Original/TI map File Hash to Security Event.json,0cbce139c89bb9ee6e3826ed0e09dd6820f8ca1c
Analytics/Original/Password spray attack against Azure AD application.json,0f2533434d8a5163a60b6648b180d25cdc93ae22
Analytics/Original/Suspicious modification of Global Administrator user properties.json,d130d9d4fdb2f38a4186b146b5d03636bc530b8a
Analytics/Original/Probable AdFind Recon Tool Usage.json,7978544021e454ecb58ab00039c0264492c78a40
Analytics/Original/Exchange AuditLog disabled.json,f52fec5ef8a4bab24d6f035e800672f56e5a69c2
Analytics/Original/TI map Email entity to AzureActivity.json,78e476d16d6129764859c4e3ae8bc7ae8454db93
Analytics/Original/Guest Users Invited to Tenant by New Inviters.json,65c46b9d61c2645c5f5bfe9b4da277c1b00f13fd
Analytics/Original/NRT Multiple users email forwarded to same destination.json,fe9214eae485a1c9f45cc93a9c456d6478006947
Analytics/Original/THALLIUM domains included in DCU takedown.json,ae6afaefabbf61aa342555040cfeb06a0be6ccfd
Analytics/Original/Authentications of Privileged Accounts Outside of Expected Controls.json,7cbcd1658471ace7033263a69fde5538c8923798
Analytics/Original/SUPERNOVA webshell.json,bf9687837ddd93fdb628d54c7b40d6c879505da5
Analytics/Modified/User Assigned Privileged Role.json,be33a92efc4cfa72a73b77ff8411ec604aebfbc7
Analytics/Original/AdminSDHolder Modifications.json,b6d7e4d554a1fa6d8b5d866150235b419a22423c
Analytics/Original/TI map Email entity to SecurityEvent.json,2ae1da2de6f4455fc68707861ee7f742ea94b7d1
Analytics/Original/Credential Dumping Tools - File Artifacts.json,95cf69e9996dfad25e6076d6bc86c0792790bb9d
Analytics/Original/High count of connections by client IP on many ports.json,1f715de353eda41ddfb269374c2420f315828ee6
Analytics/Original/Unusual identity creation using exchange powershell.json,7599d7c98f1c2a4bed7eb8530d98279e63f81650
Analytics/Original/HAFNIUM Suspicious Exchange Request.json,70cef1af0133d248b76e1838f180d60396db1a74
Analytics/Modified/Failed AzureAD logons but success logon to host.json,d780a474b4b86b5f6c628f65773bd03b79ea6fd4
Analytics/Original/Sdelete deployed via GPO and run recursively.json,8231b60d6131ef9f64595340a747a240c47b8be5
Analytics/Original/TI map IP entity to AzureActivity.json,73c03b7aa2bb73b020c280a532afb2d149d72344
Analytics/Original/ACTINIUM Actor IOCs - Feb 2022.json,1a0286e254c3bce56657e33f572881a478bd2a72
Analytics/Original/Email access via active sync.json,6d6f92d654d736bb204771ad57588db7370b0205
Analytics/Custom/Track Active Directory group modifications.json,659a9a06efcc70db8604e14a3489e5c6a063eb25
Analytics/Original/New internet-exposed SSH endpoints.json,83cb9060378a81355c8c097bc356b805fa5a7bd4
Analytics/Original/User agent search for log4j exploitation attempt.json,418125b82c6767d0c23fcb179b701b1a4e6ee6c1
Analytics/Modified/Failed logon attempts by valid accounts within 10 mins.json,887fb929d62bc4e76dd8a3fbd5792f129fd9e56f
Analytics/Original/Brute Force Attack against GitHub Account.json,2428f3a6a4a261f34ad7e9d510f2fc711b9dad61
Analytics/Original/SEABORGIUM C2 Domains August 2022.json,5dd042f9c6a99801c6542c44e2a28917f458ee98
Analytics/Original/TEARDROP memory-only dropper.json,a04dc6ccd03cdf1994d86e13d3fa8f308bc763ec
Analytics/Original/Scheduled Task Hide.json,545a8c549b175da8b791800064571a8749622c06
Analytics/Original/Dev-0530 File Extension Rename.json,9e9d39c55a1efe8e0c53334d635dac3d538522b9
Analytics/Original/TI map IP entity to Azure Key Vault logs.json,27007d7dfc22972011e3dcb4d05482b93fd79fab
Analytics/Original/WDigest downgrade attack.json,2c5cd97e3098417f3c329d3f906b3f0a0b723252
Analytics/Original/Mass secret retrieval from Azure Key Vault.json,4bdc798714af1feccda88ccf162e0ad9c09fe78b
Analytics/Original/MFA disabled for a user.json,e4b1b4fcf5454a3efab7bfa155d492181a521492
Analytics/Original/NRT Process executed from binary hidden in Base64 encoded file.json,1006d22b7eab1fd01b1bf22f97fb874e09fcf68e
Analytics/Original/NRT Malicious Inbox Rule.json,54c9867719aff6401425c3fb719a6694e35d363a
Analytics/Original/Service Principal Authentication Attempt from New Country.json,d579e8a150a0789d7d26e7699086f0617b8f5dfa
Analytics/Original/Multiple Teams deleted by a single user.json,3e9b8c792a111b497fb6d03692a604b7929e90d0
Analytics/Original/NOBELIUM - Domain, Hash and IP IOCs - May 2021.json,c736398c80a2a564cfd1c9237bb744e188896118
Analytics/Original/Azure Active Directory PowerShell accessing non-AAD resources.json,f93835528bd7a4ec1a3eb6c7a8ffe0de89f731cd
Analytics/Original/Malicious web application requests linked with Microsoft Defender for Endpoint (formerly Microsoft Defender ATP) alerts.json,f51d62ae11335f8bf6a5a74847cc0dcabc10098e
Analytics/Original/Possible Resource-Based Constrained Delegation Abuse.json,7b3df7ca45d44a7163adc29bcfe4b8e302516b7f
Analytics/Modified/Brute force attack against a Cloud PC.json,6e6bc1f6f1b519831c7ea14fd11e55f991c2a5cf
Analytics/Original/Process execution frequency anomaly.json,3791ae9f82f5399f4c3cde31b59370ef8033a2fe
Analytics/Original/HAFNIUM New UM Service Child Process.json,a9f696b6d1047c037c1c62c50cd5b6fe4758bdcb
Analytics/Original/Addition of a Temporary Access Pass to a Privileged Account.json,3e916b13005f1c64a7933cf43c4b99fa05b98b5a
Analytics/Original/Modification of Accessibility Features.json,ad09c4783029a11e28e7593580e4fc63cf49bc40
Analytics/Modified/RDP Nesting.json,f7cf5eaa9c3d306eaafa0384ce54420183f716a5
Analytics/Original/New EXE deployed via Default Domain or Default Domain Controller Policies.json,fa5c215978deadbef4e24bfad577cb756bc12296
Analytics/Original/Mail.Read Permissions Granted to Application.json,ed71ba0a31b8b3a53a7186ea0b54d819bca2cef0
Analytics/Original/TI map IP entity to OfficeActivity.json,80054cde62dbb725e1049a2da92309b9ba7718c8
Analytics/Original/Known NICKEL domains and hashes.json,b780053a4582e164731ca8a7ef50bbf7c74b5877
Analytics/Original/Azure AD Health Monitoring Agent Registry Keys Access.json,37e7647d1d3ec8417ab4a6ccd80f40f52db20fe2
Analytics/Modified/Rare subscription-level operations in Azure.json,bd9f3496dc50344d37c0475e02b25d6d8370259e
Analytics/Original/Potential Fodhelper UAC Bypass.json,ba5c544334b384510cb0a124e73572a73e4e33d4
Analytics/Original/Suspicious Service Principal creation activity.json,7d86324a4b6ad755baead8d516b89209db1a0982
Analytics/Original/TI map Email entity to SecurityAlert.json,7eab8ae283d1d3cc2b778ffd56fdee8bb57fdc63
Analytics/Modified/Rare and potentially high-risk Office operations.json,548989bb6e787b0264a0c6c226eecc0af11cc8ae
Analytics/Original/Known Phosphorus group domainsIP.json,80c911700182346c67d87bebd87c51fea38ae13a
Analytics/Original/Mail redirect via ExO transport rule.json,303d8a8d4e2f8b7d0e7f4650f6e11945febc04ee
Analytics/Modified/Anomalous login followed by Teams action.json,7f94f69ce28fe369999a2056b5eac077bd2d8859
Analytics/Original/Group created then added to built in domain local or global group.json,743ce83d84c9045caee8e69679cfb18909e50721
Analytics/Original/Security Event log cleared.json,b34bf764383824b67eb528363d092a961846bcee
Analytics/Original/Bulk Changes to Privileged Account Permissions.json,d1a972026a3bc0c33ea53a42e620a225354e12fd
Analytics/ServiceIntegration/(Preview) Anomalous SSH Login Detection.json,f04db39dea901fa98c6d360740fd491e17e5fc55
Analytics/Modified/Rare RDP Connections.json,dbb525ca56adceb4354aaf517c0e730da231b6a9
Analytics/Original/Account Created and Deleted in Short Timeframe.json,930fd354d420a4f840e0591f1c9d2ccf397b95c5
Analytics/Original/Known IRIDIUM IP.json,ee3b8f51d35541eff7e797ac60058f31cb5bd69c
Analytics/Original/Solorigate Named Pipe.json,7031674295c3304834a65ecbdc99504141d949ec
Analytics/Modified/Exchange workflow MailItemsAccessed operation anomaly.json,8d62025d9ad2924a6eb5598bc7bbd806941353ab
Analytics/Original/Dev-0228 File Path Hashes November 2021.json,692ce415164d828ed9e8725aa58bf79f8431972c
Analytics/Original/Suspicious granting of permissions to an account.json,137bb2612d854a739a49c7ceb9db76770276d987
Analytics/Original/Tarrask malware IOC - April 2022.json,adba4cb6cef90285951989649c5f70cb8eda104b
Analytics/Original/Squid proxy events related to mining pools.json,76f29745971ff3bed8142d69bb98a4d96c8be9f1
Analytics/Modified/AD user enabled and password not set within 48 hours.json,11c8a177e1f61212f6a8ae686d08b3b67060e4ec
Analytics/Original/Detect PIM Alert Disabling activity.json,8f276046ca59972077e02eaf529b3aaa768b9259
Analytics/Modified/Attempt to bypass conditional access rule in Azure AD.json,8be721cff9c1e7b888464254b6ce4b75cd6aab0f
Analytics/Original/User Accounts - Sign in Failure due to CA Spikes.json,3967e1908aa900734e11a210fec2fe42534e283f
Analytics/Original/TI map Domain entity to SecurityAlert.json,31fde3e7c5f77a0ad28c9d02d3e40405c200453f
Analytics/Original/Password spray attack against Azure AD Seamless SSO.json,7ad4722b20bf0e1a5bb5bf498d96b667283727bf
Analytics/Modified/SharePointFileOperation via previously unseen IPs.json,99b3913aac6a1c2a51d45b6c652142c93cc8864c
Analytics/Original/Base64 encoded Windows process command-lines.json,4dcd97fb8002f17c57e9b651ded402a0deccd8aa
Analytics/Original/Multiple admin membership removals from newly created admin..json,9eadd293c36dc60353214c6e28a6c3483188b6e7
Analytics/Original/Modified domain federation trust settings.json,c64b6cefba7e81ba5f1d1c0fd93ee46013ba398c
Analytics/Original/Failed host logons but success logon to AzureAD.json,bcfd2a6f69f2a45ab3c91dbaf3d7ee2c4e1fd020
Analytics/Original/URL Added to Application from Unknown Domain.json,b4bd1d6628d263a0a9221562a837ec1ef230f911
